iter	Passed	Remaining
0	137	137357
1	141	70551
2	144	47917
3	146	36563
4	149	29723
5	153	25363
6	156	22205
7	159	19831
8	162	17941
9	165	16350
10	168	15172
11	171	14152
12	174	13249
13	177	12507
14	181	11898
15	184	11332
16	186	10797
17	189	10321
18	191	9898
19	195	9574
20	198	9253
21	201	8941
22	204	8673
23	206	8409
24	210	8212
25	214	8018
26	217	7822
27	220	7647
28	223	7495
29	226	7323
30	228	7156
31	231	6991
32	233	6828
33	234	6675
34	237	6545
35	239	6419
36	241	6290
37	243	6163
38	245	6048
39	247	5935
40	249	5828
41	251	5731
42	254	5657
43	256	5565
44	257	5475
45	259	5390
46	261	5310
47	263	5232
48	265	5153
49	267	5090
50	269	5022
51	271	4957
52	273	4891
53	275	4834
54	277	4772
55	279	4716
56	282	4673
57	284	4618
58	286	4565
59	287	4511
60	289	4460
61	291	4408
62	293	4359
63	295	4327
64	298	4288
65	299	4245
66	301	4202
67	303	4164
68	306	4129
69	307	4090
70	310	4062
71	312	4030
72	314	3993
73	316	3959
74	318	3923
75	320	3892
76	322	3860
77	324	3830
78	326	3805
79	328	3774
80	330	3744
81	331	3714
82	333	3684
83	335	3656
84	337	3628
85	339	3605
86	341	3585
87	343	3560
88	345	3535
89	347	3511
90	349	3487
91	350	3463
92	352	3441
93	355	3426
94	357	3404
95	359	3384
96	361	3362
97	362	3341
98	364	3320
99	366	3299
100	368	3278
101	370	3263
102	374	3261
103	376	3243
104	378	3223
105	380	3206
106	382	3188
107	386	3191
108	388	3177
109	390	3161
110	392	3146
111	395	3131
112	397	3116
113	399	3106
114	401	3092
115	403	3077
116	405	3062
117	407	3046
118	409	3030
119	411	3014
120	412	2993
121	414	2982
122	416	2969
123	418	2955
124	420	2942
125	422	2929
126	424	2916
127	426	2902
128	428	2891
129	430	2881
130	432	2869
131	434	2858
132	436	2846
133	438	2833
134	440	2820
135	442	2808
136	444	2802
137	446	2790
138	448	2779
139	450	2768
140	452	2756
141	454	2744
142	455	2730
143	457	2719
144	460	2714
145	462	2705
146	464	2694
147	466	2684
148	467	2672
149	469	2662
150	471	2652
151	474	2645
152	476	2638
153	478	2627
154	480	2617
155	481	2607
156	483	2597
157	485	2587
158	487	2577
159	490	2573
160	492	2565
161	494	2557
162	496	2547
163	498	2538
164	500	2530
165	502	2522
166	505	2519
167	507	2511
168	508	2502
169	510	2493
170	513	2487
171	515	2479
172	517	2474
173	520	2469
174	522	2461
175	524	2455
176	526	2447
177	528	2440
178	530	2432
179	533	2428
180	535	2422
181	537	2415
182	539	2407
183	541	2400
184	543	2392
185	545	2386
186	547	2381
187	550	2375
188	552	2369
189	553	2361
190	555	2354
191	557	2346
192	559	2340
193	563	2342
194	566	2339
195	568	2333
196	571	2328
197	573	2321
198	574	2313
199	577	2308
200	579	2302
201	581	2298
202	584	2293
203	586	2288
204	588	2283
205	590	2277
206	593	2273
207	595	2269
208	597	2262
209	599	2255
210	601	2248
211	603	2241
212	604	2235
213	607	2230
214	609	2225
215	611	2218
216	613	2212
217	615	2206
218	616	2199
219	618	2193
220	620	2187
221	623	2184
222	625	2178
223	626	2172
224	628	2165
225	630	2159
226	632	2152
227	633	2146
228	635	2140
229	638	2136
230	640	2132
231	642	2127
232	644	2121
233	646	2115
234	648	2109
235	649	2103
236	652	2100
237	654	2095
238	656	2089
239	657	2083
240	659	2078
241	661	2072
242	663	2066
243	665	2061
244	667	2058
245	670	2053
246	671	2048
247	673	2042
248	675	2037
249	677	2032
250	679	2027
251	681	2023
252	684	2019
253	685	2014
254	688	2010
255	689	2005
256	691	2000
257	693	1994
258	695	1991
259	697	1986
260	699	1981
261	701	1976
262	703	1971
263	705	1966
264	707	1961
265	709	1957
266	711	1953
267	713	1948
268	715	1943
269	717	1938
270	718	1933
271	720	1928
272	722	1923
273	724	1918
274	726	1914
275	728	1910
276	730	1906
277	732	1902
278	734	1897
279	736	1892
280	737	1888
281	740	1884
282	742	1880
283	744	1876
284	746	1871
285	747	1867
286	749	1862
287	751	1857
288	753	1853
289	755	1850
290	757	1846
291	759	1842
292	761	1837
293	763	1833
294	765	1829
295	767	1824
296	769	1821
297	771	1818
298	773	1813
299	775	1809
300	777	1805
301	779	1800
302	781	1796
303	782	1792
304	785	1790
305	788	1788
306	790	1784
307	792	1780
308	794	1777
309	796	1773
310	798	1769
311	800	1765
312	802	1761
313	804	1757
314	806	1753
315	808	1749
316	810	1745
317	811	1741
318	814	1737
319	816	1734
320	818	1730
321	820	1727
322	822	1723
323	824	1719
324	825	1715
325	827	1711
326	830	1708
327	831	1704
328	833	1700
329	835	1696
330	837	1692
331	839	1688
332	841	1684
333	842	1680
334	845	1678
335	847	1674
336	849	1670
337	851	1666
338	852	1663
339	854	1659
340	856	1655
341	859	1652
342	861	1649
343	863	1645
344	864	1642
345	866	1638
346	868	1634
347	870	1631
348	872	1627
349	874	1624
350	876	1621
351	878	1617
352	880	1613
353	882	1610
354	884	1607
355	886	1603
356	888	1601
357	890	1597
358	892	1594
359	894	1590
360	896	1587
361	898	1583
362	900	1579
363	902	1576
